代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作
128066,亚泰转债,106.397,8.30%,1.59,AA-,4.334,114.70,建仓
113570,百达转债,105.780,12.09%,2.33,A+,5.230,117.87,建仓
123049,维尔转债,112.672,5.48%,1.48,AA-,5.321,118.15,建仓
123002,国祯转债,114.351,4.16%,1.70,AA,2.937,118.51,建仓
113549,白电转债,105.200,13.37%,1.48,AA,4.912,118.57,建仓
123051,今天转债,117.010,1.65%,3.41,A+,5.463,118.66,建仓
128094,星帅转债,110.375,8.36%,2.82,A+,5.085,118.73,建仓
113534,鼎胜转债,107.800,10.94%,1.68,AA,4.310,118.74,建仓
128085,鸿达转债,84.400,3.07%,1.08,AA,5.000,87.47,持仓
128128,齐翔转2,106.699,0.58%,1.77,AA,5.674,107.28,持仓
113601,塞力转债,108.960,4.12%,2.25,AA-,5.677,113.08,持仓
128013,洪涛转债,103.200,10.70%,1.17,AA-,1.614,113.90,持仓
113033,利群转债,105.600,8.38%,1.30,AA,5.288,113.98,持仓
113016,小康转债,111.180,3.29%,3.53,AA,2.888,114.47,持仓
113541,荣晟转债,111.840,3.67%,1.98,AA-,4.597,115.51,持仓
113595,花王转债,103.910,13.03%,1.90,AA-,5.592,116.94,持仓
113567,君禾转债,114.570,2.98%,3.69,A+,5.211,117.55,持仓
128064,司尔转债,110.800,6.75%,1.14,AA,4.310,117.55,持仓
128116,瑞达转债,107.000,10.98%,6.85,AA,5.534,117.98,持仓
123010,博世转债,108.910,9.81%,1.97,AA-,3.551,118.72,持仓
110071,湖盐转债,105.610,13.89%,2.11,AA,5.562,119.50,清仓
113546,迪贝转债,105.330,15.58%,2.36,A+,4.849,120.91,清仓
128057,博彦转债,118.800,0.58%,1.87,AA-,4.216,119.38,清仓
128113,比音转债,119.200,4.11%,4.06,AA,5.493,123.31,清仓
128025,特一转债,103.100,19.81%,2.42,AA-,2.970,122.91,清仓
113557,森特转债,103.810,15.08%,2.05,AA-,5.005,118.89,清仓
128108,蓝帆转债,120.880,-0.53%,2.08,AA,5.444,120.35,清仓
113593,沪工转债,121.480,0.66%,6.53,A+,5.592,122.14,清仓
