代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作
110071,湖盐转债,105.160,15.29%,2.08,AA,5.578,120.45,建仓
113546,迪贝转债,108.120,12.84%,2.48,A+,4.866,120.96,建仓
113567,君禾转债,114.870,6.59%,3.57,A+,5.227,121.46,建仓
128057,博彦转债,120.428,1.07%,1.88,AA-,4.233,121.50,建仓
113541,荣晟转债,117.500,4.22%,2.06,AA-,4.614,121.72,建仓
128113,比音转债,115.000,7.84%,3.78,AA,5.512,122.84,建仓
128025,特一转债,105.450,17.43%,2.52,AA-,2.986,122.88,建仓
123002,国祯转债,115.900,7.06%,1.67,AA,2.953,122.96,建仓
128128,齐翔转2,106.700,2.22%,1.75,AA,5.690,108.92,持仓
113601,塞力转债,109.040,7.40%,2.19,AA-,5.693,116.44,持仓
113557,森特转债,103.970,13.27%,2.09,AA-,5.022,117.24,持仓
128085,鸿达转债,106.549,10.79%,1.27,AA,5.016,117.34,持仓
128108,蓝帆转债,120.320,-0.07%,2.06,AA,5.460,120.25,持仓
113593,沪工转债,121.900,-1.14%,6.67,A+,5.608,120.76,持仓
128013,洪涛转债,106.298,14.82%,1.16,AA-,1.630,121.12,持仓
128116,瑞达转债,108.000,13.80%,6.74,AA,5.551,121.80,持仓
113033,利群转债,107.010,14.88%,1.25,AA,5.304,121.89,持仓
123010,博世转债,108.700,13.35%,1.90,AA-,3.567,122.05,持仓
128064,司尔转债,111.990,10.17%,1.11,AA,4.326,122.16,持仓
113595,花王转债,106.950,15.61%,1.91,AA-,5.608,122.56,持仓
128114,正邦转债,116.156,8.41%,2.83,AA+,5.515,124.57,清仓
128082,华锋转债,111.500,13.24%,1.54,A+,4.981,124.74,清仓
128127,文科转债,107.200,9.03%,1.02,AA-,5.701,116.23,清仓
128066,亚泰转债,110.500,12.60%,1.59,AA-,4.351,123.10,清仓
113039,嘉泽转债,102.900,20.44%,1.73,AA,5.704,123.34,清仓
123004,铁汉转债,98.118,28.46%,1.18,AA,3.019,126.58,清仓
113549,白电转债,108.220,15.92%,1.49,AA,4.929,124.14,清仓
