代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
110072,广汇转债,82.020,16.80%,0.57,AA+,5.608,98.82,建仓,82.020,0%
123089,九洲转2,96.500,4.19%,1.29,AA-,5.953,100.69,建仓,96.500,0%
128100,搜特转债,94.099,9.60%,1.36,AA,5.173,103.70,建仓,94.099,0%
123084,高澜转债,94.162,9.71%,3.48,A+,5.921,103.87,建仓,94.162,0%
113612,永冠转债,104.140,6.40%,2.29,AA-,5.915,110.54,建仓,104.140,0%
128057,博彦转债,103.998,8.34%,1.52,AA-,4.156,112.34,建仓,103.998,0%
128085,鸿达转债,79.796,4.97%,1.00,AA,4.940,84.77,持仓,82.300,-3.0%
113609,永安转债,91.000,14.32%,1.09,AA-,5.877,105.32,持仓,93.680,-2.9%
128128,齐翔转2,105.500,2.88%,1.72,AA,5.614,108.38,持仓,103.950,1.5%
113601,塞力转债,100.390,8.23%,2.00,AA-,5.616,108.62,持仓,105.420,-4.8%
113610,灵康转债,103.280,5.93%,4.49,AA-,5.896,109.21,持仓,104.100,-0.8%
128140,润建转债,98.500,11.24%,1.75,AA,5.912,109.74,持仓,99.901,-1.4%
113033,利群转债,103.600,6.64%,1.30,AA,5.227,110.24,持仓,105.980,-2.2%
128066,亚泰转债,96.845,13.92%,1.38,AA-,4.274,110.77,持仓,102.949,-5.9%
113557,森特转债,94.700,16.20%,1.85,AA-,4.945,110.90,持仓,97.750,-3.1%
113541,荣晟转债,109.850,2.48%,1.98,AA-,4.537,112.33,持仓,111.840,-1.8%
113039,嘉泽转债,104.540,8.49%,1.95,AA,5.627,113.03,持仓,108.720,-3.8%
123085,万顺转2,92.389,21.12%,0.94,AA-,5.923,113.51,持仓,97.500,-5.2%
113591,胜达转债,98.050,15.62%,2.23,AA-,5.477,113.67,持仓,101.400,-3.3%
128026,众兴转债,101.114,13.28%,1.42,AA-,2.929,114.39,持仓,106.200,-4.8%
128093,百川转债,106.560,12.30%,2.05,AA-,4.989,118.86,清仓,110.070,0.0%
127003,海印转债,104.950,12.04%,1.61,AA,1.414,116.99,清仓,107.479,0.0%
128040,华通转债,115.211,1.89%,8.47,AA-,3.430,117.10,清仓,116.240,0.0%
113016,小康转债,108.200,8.61%,3.31,AA,2.827,116.81,清仓,113.221,-1.9%
123010,博世转债,100.500,20.33%,1.66,AA-,3.490,120.83,清仓,111.034,-5.9%
