代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作
123074,隆利转债,112.000,9.44%,4.18,AA-,5.932,121.44,建仓
127023,华菱转2,116.900,5.31%,1.12,AAA,5.915,122.21,建仓
113567,君禾转债,115.340,6.94%,3.57,A+,5.277,122.28,建仓
123010,博世转债,112.097,10.83%,2.00,AA-,3.616,122.93,建仓
123049,维尔转债,117.530,5.92%,1.54,AA-,5.386,123.45,建仓
123023,迪森转债,112.800,10.75%,1.72,AA,4.323,123.55,建仓
110071,湖盐转债,110.200,13.47%,2.21,AA,5.627,123.67,建仓
128128,齐翔转2,114.098,-1.38%,1.93,AA,5.740,112.72,持仓
113008,电气转债,107.970,5.10%,1.23,AAA,0.195,113.07,持仓
128127,文科转债,108.887,7.29%,1.05,AA-,5.740,116.18,持仓
128013,洪涛转债,107.353,9.83%,1.23,AA-,1.679,117.18,持仓
128085,鸿达转债,111.221,6.34%,1.38,AA,5.066,117.56,持仓
128066,亚泰转债,114.936,4.85%,1.78,AA-,4.400,119.79,持仓
113039,嘉泽转债,103.620,16.70%,1.80,AA,5.753,120.32,持仓
113601,塞力转债,106.910,13.53%,2.03,AA-,5.742,120.44,持仓
128082,华锋转债,114.143,6.42%,1.68,A+,5.030,120.56,持仓
113595,花王转债,107.200,13.76%,1.94,AA-,5.658,120.96,持仓
128108,蓝帆转债,119.922,2.17%,2.01,AA,5.510,122.09,持仓
110057,现代转债,114.960,7.46%,1.34,AAA,4.353,122.42,持仓
113541,荣晟转债,120.570,2.68%,2.15,AA-,4.663,123.25,持仓
113549,白电转债,112.610,11.11%,1.62,AA,4.978,123.72,清仓
123028,清水转债,113.611,10.08%,1.60,AA-,4.570,123.69,清仓
113033,利群转债,109.190,14.93%,1.27,AA,5.353,124.12,清仓
128064,司尔转债,114.191,10.73%,1.13,AA,4.375,124.92,清仓
128018,时达转债,108.260,20.61%,1.52,AA,2.953,128.87,清仓
113568,新春转债,110.850,12.88%,1.43,AA-,5.282,123.73,清仓
113557,森特转债,108.690,15.06%,2.15,AA-,5.071,123.75,清仓
