代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
128140,润建转债,99.901,8.79%,1.81,AA,5.923,108.69,建仓,99.901,0%
128026,众兴转债,106.200,5.83%,1.59,AA-,2.940,112.03,建仓,106.200,0%
123085,万顺转2,97.500,16.78%,1.03,AA-,5.934,114.28,建仓,97.500,0%
128093,百川转债,110.070,5.57%,2.25,AA-,5.000,115.64,建仓,110.070,0%
113591,胜达转债,101.400,14.66%,2.33,AA-,5.488,116.06,建仓,101.400,0%
127003,海印转债,107.479,9.67%,1.68,AA,1.425,117.15,建仓,107.479,0%
128040,华通转债,116.240,1.07%,8.62,AA-,3.441,117.31,建仓,116.240,0%
128085,鸿达转债,82.300,5.09%,1.03,AA,4.951,87.39,持仓,100.107,-17.8%
128128,齐翔转2,103.950,1.97%,1.71,AA,5.625,105.92,持仓,110.858,-6.2%
128100,搜特转债,89.887,18.49%,1.21,AA,5.184,108.38,持仓,89.111,0.9%
113609,永安转债,93.680,15.13%,1.12,AA-,5.888,108.81,持仓,91.200,2.7%
113610,灵康转债,104.100,7.02%,4.48,AA-,5.907,111.12,持仓,98.430,5.8%
113601,塞力转债,105.420,6.36%,2.13,AA-,5.627,111.78,持仓,107.559,-2.0%
113039,嘉泽转债,108.720,3.78%,2.12,AA,5.638,112.50,持仓,103.500,5.0%
113016,小康转债,111.070,1.44%,3.59,AA,2.838,112.51,持仓,113.221,-1.9%
113033,利群转债,105.980,6.89%,1.33,AA,5.238,112.87,持仓,107.996,-1.9%
113541,荣晟转债,111.840,4.17%,1.97,AA-,4.548,116.01,持仓,115.026,-2.8%
123010,博世转债,104.439,12.46%,1.84,AA-,3.501,116.90,持仓,111.034,-5.9%
113557,森特转债,97.750,19.35%,1.86,AA-,4.956,117.10,持仓,95.150,2.7%
128066,亚泰转债,102.949,14.43%,1.46,AA-,4.285,117.38,持仓,105.799,-2.7%
128139,祥鑫转债,101.231,16.16%,2.89,AA-,5.907,117.39,清仓,3.3%
128082,华锋转债,105.000,12.39%,1.46,A+,4.915,117.39,清仓,2.9%
113578,全筑转债,104.080,16.29%,1.15,AA,5.290,120.37,清仓,3.4%
123004,铁汉转债,97.809,26.80%,1.19,AA,2.953,124.61,清仓,-0.3%
113595,花王转债,95.000,23.46%,1.59,AA-,5.542,118.46,清仓,4.3%
128094,星帅转债,113.000,5.09%,2.98,A+,5.036,118.09,清仓,4.1%
113567,君禾转债,100.420,22.95%,2.71,A+,5.162,123.37,清仓,-10.7%
