代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作
113008,电气转债,108.100,6.44%,1.22,AAA,0.214,114.54,建仓
128128,齐翔转2,112.700,2.25%,1.84,AA,5.759,114.95,建仓
128127,文科转债,109.000,8.60%,1.04,AA-,5.759,117.60,建仓
128013,洪涛转债,107.100,11.79%,1.21,AA-,1.699,118.89,建仓
128085,鸿达转债,110.286,9.73%,1.32,AA,5.085,120.02,建仓
128108,蓝帆转债,119.825,1.22%,2.02,AA,5.529,121.05,建仓
128082,华锋转债,114.300,7.08%,1.67,A+,5.049,121.38,建仓
128066,亚泰转债,114.913,6.74%,1.75,AA-,4.419,121.65,建仓
113595,花王转债,109.390,12.47%,2.01,AA-,5.677,121.86,建仓
113601,塞力转债,107.400,14.48%,2.02,AA-,5.762,121.88,建仓
113039,嘉泽转债,103.790,18.76%,1.77,AA,5.773,122.55,建仓
113549,白电转债,111.130,11.51%,1.59,AA,4.997,122.64,建仓
123028,清水转债,121.100,1.55%,1.85,AA-,4.589,122.65,建仓
113033,利群转债,107.900,15.13%,1.25,AA,5.373,123.03,建仓
128064,司尔转债,113.173,10.62%,1.12,AA,4.395,123.79,建仓
128018,时达转债,107.050,16.98%,1.55,AA,2.973,124.03,建仓
113568,新春转债,109.270,14.81%,1.39,AA-,5.301,124.08,建仓
113541,荣晟转债,120.210,3.91%,2.12,AA-,4.682,124.12,建仓
110057,现代转债,114.800,9.38%,1.31,AAA,4.373,124.18,建仓
113557,森特转债,109.890,14.53%,2.18,AA-,5.090,124.42,建仓
