代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
123092,天壕转债,99.263,3.23%,1.28,A+,5.940,102.49,建仓,99.263,0%
113534,鼎胜转债,97.770,13.47%,1.49,AA,4.230,111.24,建仓,97.770,0%
113505,杭电转债,101.610,9.92%,1.70,AA,3.137,111.53,建仓,101.610,0%
113549,白电转债,100.140,11.57%,1.43,AA,4.833,111.71,建仓,100.140,0%
113578,全筑转债,95.800,16.37%,1.06,AA,5.260,112.17,建仓,95.800,0%
128085,鸿达转债,80.800,5.23%,1.01,AA,4.921,86.03,持仓,78.326,3.2%
110072,广汇转债,80.040,19.03%,0.55,AA+,5.589,99.07,持仓,79.990,0.1%
113609,永安转债,89.980,15.40%,1.07,AA-,5.858,105.38,持仓,89.560,0.5%
128100,搜特转债,90.460,15.06%,1.25,AA,5.153,105.52,持仓,94.777,-4.6%
113033,利群转债,101.900,5.36%,1.29,AA,5.208,107.26,持仓,103.020,-1.1%
128140,润建转债,96.850,10.60%,1.73,AA,5.893,107.45,持仓,97.390,-0.6%
113610,灵康转债,97.980,9.68%,4.12,AA-,5.877,107.66,持仓,100.120,-2.1%
113612,永冠转债,100.320,8.12%,2.17,AA-,5.896,108.44,持仓,101.430,-1.1%
123089,九洲转2,93.400,15.13%,1.13,AA-,5.934,108.53,持仓,94.201,-0.9%
113570,百达转债,102.690,6.57%,2.38,A+,5.151,109.26,持仓,99.310,3.4%
113601,塞力转债,97.660,12.20%,1.88,AA-,5.597,109.86,持仓,99.010,-1.4%
113541,荣晟转债,109.770,1.58%,2.00,AA-,4.518,111.35,持仓,108.240,1.4%
128128,齐翔转2,106.000,5.36%,1.68,AA,5.595,111.36,持仓,105.150,0.8%
128082,华锋转债,101.057,11.01%,1.43,A+,4.885,112.07,持仓,100.990,0.1%
113557,森特转债,94.100,18.62%,1.80,AA-,4.926,112.72,持仓,93.690,0.4%
123084,高澜转债,94.110,18.92%,3.21,A+,5.901,113.03,清仓,93.520,0.6%
128074,游族转债,96.950,24.83%,2.10,AA,4.690,121.78,清仓,97.711,-0.8%
113039,嘉泽转债,99.350,14.04%,1.76,AA,5.608,113.39,清仓,108.720,-8.6%
128066,亚泰转债,96.258,17.82%,1.33,AA-,4.255,114.08,清仓,102.949,-6.5%
128040,华通转债,109.967,2.80%,8.01,AA-,3.411,112.77,清仓,116.240,-5.4%
