代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
110058,永鼎转债,107.000,7.21%,2.47,AA,4.375,114.21,刚被杀猪过正在暴跌,0,0
128074,游族转债,88.394,25.31%,1.91,AA,4.740,113.70,董事长被下毒,88.394,0%
