代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作
113608,威派转债,108.480,14.93%,6.78,A+,5.945,123.41,建仓
113033,利群转债,109.780,14.01%,1.29,AA,5.334,123.79,建仓
113549,白电转债,111.360,12.88%,1.57,AA,4.959,124.24,建仓
113568,新春转债,112.080,12.46%,1.45,AA-,5.263,124.54,建仓
128057,博彦转债,118.220,6.82%,1.75,AA-,4.263,125.04,建仓
113008,电气转债,108.550,4.28%,1.25,AAA,0.175,112.83,持仓
128128,齐翔转2,115.900,-2.19%,1.98,AA,5.721,113.71,持仓
128127,文科转债,108.903,7.30%,1.05,AA-,5.721,116.20,持仓
128085,鸿达转债,111.911,5.97%,1.39,AA,5.047,117.88,持仓
128013,洪涛转债,108.200,10.70%,1.23,AA-,1.660,118.90,持仓
113039,嘉泽转债,104.410,16.11%,1.82,AA,5.734,120.52,持仓
113601,塞力转债,110.150,10.74%,2.14,AA-,5.723,120.89,持仓
128108,蓝帆转债,117.630,3.59%,1.94,AA,5.490,121.22,持仓
128066,亚泰转债,113.648,8.38%,1.70,AA-,4.381,122.03,持仓
113595,花王转债,108.660,14.26%,1.96,AA-,5.638,122.92,持仓
110071,湖盐转债,109.600,14.82%,2.18,AA,5.608,124.42,持仓
110057,现代转债,114.440,10.00%,1.30,AAA,4.334,124.44,持仓
113541,荣晟转债,119.740,5.00%,2.09,AA-,4.644,124.74,持仓
123010,博世转债,113.500,11.39%,2.02,AA-,3.597,124.89,持仓
113567,君禾转债,116.470,8.69%,3.55,A+,5.258,125.16,持仓
123074,隆利转债,109.400,17.47%,3.80,AA-,5.912,126.87,清仓
127023,华菱转2,116.900,9.90%,1.07,AAA,5.896,126.80,清仓
123049,维尔转债,117.904,7.95%,1.51,AA-,5.367,125.85,清仓
123023,迪森转债,106.130,22.28%,1.47,AA,4.304,128.41,清仓
