STOCK,1000000.0
alpha,0.278
annualized_returns,0.3749
benchmark_annualized_returns,0.053855
benchmark_total_returns,0.208046
beta,0.386
cash,5073.7198
downside_risk,0.098
end_date,2021-09-24
information_ratio,1.411
max_drawdown,0.177
run_type,BACKTEST
sharpe,1.95
sortino,2.97
start_date,2018-01-02
strategy_file,multi_factors.py
strategy_name,multi_factors
total_returns,2.149156
total_value,3149155.5698
tracking_error,0.181
unit_net_value,3.1492
units,1000000.0
volatility,0.15
