date,order_book_id,symbol,quantity,last_price,avg_price,market_value
2018-01-19,110041.XSHG,蒙电转债,490.0,101.29,100.47,49632.1
2018-01-19,128024.XSHE,宁行转债,440.0,120.23,113.003,52901.2
2018-01-19,113017.XSHG,吉视转债,510.0,99.22,98.08,50602.2
2018-01-19,110042.XSHG,航电转债,490.0,104.51,101.76,51209.9
2018-01-22,113016.XSHG,小康转债,520.0,98.86,99.976,51407.2
2018-01-22,128023.XSHE,亚太转债,530.0,95.81,95.2274,50779.3
2018-01-22,113011.XSHG,光大转债,450.0,115.25,105.8,51862.5
2018-01-22,113503.XSHG,泰晶转债,500.0,101.0,101.7642,50500.0
2018-01-22,123002.XSHE,国祯转债,450.0,112.45,112.1526,50602.5
2018-01-22,128015.XSHE,久其转债,520.0,98.236,96.2419,51082.72
2018-01-22,128025.XSHE,特一转债,510.0,101.0,98.2468,51510.0
2018-01-22,128018.XSHE,时达转债,530.0,95.511,95.4268,50620.83
2018-01-22,113502.XSHG,嘉澳转债,510.0,98.71,96.29,50342.1
2018-01-22,128021.XSHE,兄弟转债,480.0,106.601,100.45,51168.48
2018-01-22,128019.XSHE,久立转2,520.0,97.111,95.5,50497.72
2018-01-22,128014.XSHE,永东转债,480.0,105.86,105.7811,50812.8
2018-01-22,128022.XSHE,众信转债,470.0,110.9,104.1989,52123.0
2018-01-22,113009.XSHG,广汽转债,430.0,117.71,117.2309,50615.3
2018-01-22,128026.XSHE,众兴转债,510.0,99.108,100.401,50545.08
2018-01-22,110041.XSHG,蒙电转债,500.0,102.38,100.5082,51190.0
2018-01-22,113017.XSHG,吉视转债,510.0,101.24,98.08,51632.4
2018-01-22,110042.XSHG,航电转债,490.0,105.62,101.76,51753.8
2018-01-22,113012.XSHG,骆驼转债,530.0,96.4,96.4,51092.0
2018-01-22,128027.XSHE,崇达转债,480.0,106.7,106.7,51216.0
2018-01-23,113016.XSHG,小康转债,520.0,99.14,99.976,51552.8
2018-01-23,128023.XSHE,亚太转债,530.0,96.326,95.2274,51052.78
2018-01-23,113011.XSHG,光大转债,450.0,119.23,105.8,53653.5
2018-01-23,113503.XSHG,泰晶转债,500.0,101.59,101.7642,50795.0
2018-01-23,123002.XSHE,国祯转债,450.0,112.341,112.1526,50553.45
2018-01-23,128015.XSHE,久其转债,520.0,98.099,96.2419,51011.48
2018-01-23,128025.XSHE,特一转债,510.0,101.64,98.2468,51836.4
2018-01-23,128018.XSHE,时达转债,530.0,95.96,95.4268,50858.8
2018-01-23,113502.XSHG,嘉澳转债,510.0,98.71,96.29,50342.1
2018-01-23,128021.XSHE,兄弟转债,480.0,106.2,100.45,50976.0
2018-01-23,128019.XSHE,久立转2,520.0,97.855,95.5,50884.6
2018-01-23,128014.XSHE,永东转债,480.0,106.803,105.7811,51265.44
2018-01-23,128022.XSHE,众信转债,470.0,111.8,104.1989,52546.0
2018-01-23,113009.XSHG,广汽转债,430.0,119.66,117.2309,51453.8
2018-01-23,128026.XSHE,众兴转债,510.0,99.503,100.401,50746.53
2018-01-23,110041.XSHG,蒙电转债,500.0,103.3,100.5082,51650.0
2018-01-23,113017.XSHG,吉视转债,510.0,102.07,98.08,52055.7
2018-01-23,110042.XSHG,航电转债,490.0,105.25,101.76,51572.5
2018-01-23,113012.XSHG,骆驼转债,530.0,96.78,96.4,51293.4
2018-01-23,128027.XSHE,崇达转债,480.0,106.271,106.7,51010.08
2018-01-24,113016.XSHG,小康转债,520.0,100.21,99.976,52109.2
2018-01-24,128023.XSHE,亚太转债,530.0,96.8,95.2274,51304.0
2018-01-24,113011.XSHG,光大转债,450.0,120.63,105.8,54283.5
2018-01-24,113503.XSHG,泰晶转债,500.0,102.41,101.7642,51205.0
2018-01-24,123002.XSHE,国祯转债,450.0,113.5,112.1526,51075.0
2018-01-24,128015.XSHE,久其转债,520.0,100.52,96.2419,52270.4
2018-01-24,128025.XSHE,特一转债,510.0,102.13,98.2468,52086.3
2018-01-24,128018.XSHE,时达转债,530.0,96.728,95.4268,51265.84
2018-01-24,113502.XSHG,嘉澳转债,510.0,98.71,96.29,50342.1
2018-01-24,128021.XSHE,兄弟转债,480.0,106.0,100.45,50880.0
2018-01-24,128019.XSHE,久立转2,520.0,98.5,95.5,51220.0
2018-01-24,128014.XSHE,永东转债,480.0,107.118,105.7811,51416.64
2018-01-24,128022.XSHE,众信转债,470.0,114.6,104.1989,53862.0
2018-01-24,113009.XSHG,广汽转债,430.0,119.12,117.2309,51221.6
2018-01-24,128026.XSHE,众兴转债,510.0,99.885,100.401,50941.35
2018-01-24,110041.XSHG,蒙电转债,500.0,104.3,100.5082,52150.0
2018-01-24,113017.XSHG,吉视转债,510.0,105.62,98.08,53866.2
2018-01-24,110042.XSHG,航电转债,490.0,106.71,101.76,52287.9
2018-01-24,113012.XSHG,骆驼转债,530.0,98.4,96.4,52152.0
2018-01-24,128027.XSHE,崇达转债,480.0,106.703,106.7,51217.44
2018-01-25,113016.XSHG,小康转债,520.0,100.95,99.976,52494.0
2018-01-25,128023.XSHE,亚太转债,530.0,97.611,95.2274,51733.83
2018-01-25,113011.XSHG,光大转债,450.0,119.89,105.8,53950.5
2018-01-25,113503.XSHG,泰晶转债,500.0,104.2,101.7642,52100.0
2018-01-25,123002.XSHE,国祯转债,450.0,117.488,112.1526,52869.6
2018-01-25,128015.XSHE,久其转债,520.0,101.249,96.2419,52649.48
2018-01-25,128025.XSHE,特一转债,510.0,103.2,98.2468,52632.0
2018-01-25,128018.XSHE,时达转债,530.0,97.9,95.4268,51887.0
2018-01-25,113502.XSHG,嘉澳转债,510.0,98.71,96.29,50342.1
2018-01-25,128021.XSHE,兄弟转债,480.0,106.838,100.45,51282.24
2018-01-25,128019.XSHE,久立转2,520.0,100.53,95.5,52275.6
2018-01-25,128014.XSHE,永东转债,480.0,108.338,105.7811,52002.24
2018-01-25,128022.XSHE,众信转债,470.0,117.5,104.1989,55225.0
2018-01-25,113009.XSHG,广汽转债,430.0,118.16,117.2309,50808.8
2018-01-25,128026.XSHE,众兴转债,510.0,101.258,100.401,51641.58
2018-01-25,110041.XSHG,蒙电转债,500.0,105.11,100.5082,52555.0
2018-01-25,113017.XSHG,吉视转债,510.0,106.81,98.08,54473.1
2018-01-25,110042.XSHG,航电转债,490.0,110.4,101.76,54096.0
2018-01-25,113012.XSHG,骆驼转债,530.0,98.82,96.4,52374.6
2018-01-25,128027.XSHE,崇达转债,480.0,107.03,106.7,51374.4
2018-01-26,113016.XSHG,小康转债,520.0,100.71,99.976,52369.2
2018-01-26,128023.XSHE,亚太转债,530.0,97.609,95.2274,51732.77
2018-01-26,113011.XSHG,光大转债,450.0,120.14,105.8,54063.0
2018-01-26,113503.XSHG,泰晶转债,500.0,103.77,101.7642,51885.0
2018-01-26,123002.XSHE,国祯转债,450.0,117.766,112.1526,52994.7
2018-01-26,128015.XSHE,久其转债,520.0,102.0,96.2419,53040.0
2018-01-26,128025.XSHE,特一转债,510.0,103.048,98.2468,52554.48
2018-01-26,128018.XSHE,时达转债,530.0,97.72,95.4268,51791.6
2018-01-26,113502.XSHG,嘉澳转债,510.0,98.71,96.29,50342.1
2018-01-26,128021.XSHE,兄弟转债,480.0,105.5,100.45,50640.0
2018-01-26,128019.XSHE,久立转2,520.0,99.355,95.5,51664.6
2018-01-26,128014.XSHE,永东转债,480.0,107.597,105.7811,51646.56
2018-01-26,128022.XSHE,众信转债,470.0,117.351,104.1989,55154.97
2018-01-26,113009.XSHG,广汽转债,430.0,117.43,117.2309,50494.9
2018-01-26,128026.XSHE,众兴转债,510.0,100.91,100.401,51464.1
2018-01-26,110041.XSHG,蒙电转债,500.0,103.91,100.5082,51955.0
2018-01-26,113017.XSHG,吉视转债,510.0,105.63,98.08,53871.3
2018-01-26,110042.XSHG,航电转债,490.0,112.22,101.76,54987.8
2018-01-26,113012.XSHG,骆驼转债,530.0,99.26,96.4,52607.8
2018-01-26,128027.XSHE,崇达转债,480.0,106.76,106.7,51244.8
2018-01-29,113016.XSHG,小康转债,520.0,99.37,99.976,51672.4
